Case Number,Date,Primary Type,Location Description,Arrest,Domestic,District,Ward
JA140605,01/25/2017 01:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,25,29
JA140518,02/03/2017 15:54,BATTERY,RESIDENCE,TRUE,TRUE,19,47
JA140446,02/03/2017 15:00,CRIMINAL DAMAGE,CTA GARAGE / OTHER PROPERTY,FALSE,FALSE,24,49
JA140496,02/01/2017 18:00,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,8,18
JA140543,01/30/2017 06:00:00 PM,THEFT,STREET,FALSE,FALSE,2,3
JA140546,02/03/2017 14:00,THEFT,SMALL RETAIL STORE,FALSE,FALSE,16,38
JA140592,02/03/2017 15:20,ASSAULT,STREET,FALSE,FALSE,8,14
JA140628,02/02/2017 19:30,THEFT,SMALL RETAIL STORE,FALSE,FALSE,18,42
JA140459,02/03/2017 11:00,OTHER OFFENSE,OTHER,FALSE,TRUE,4,7
JA140353,02/03/2017 12:52,DECEPTIVE PRACTICE,DEPARTMENT STORE,FALSE,FALSE,17,35
JA140582,02/03/2017 14:30,THEFT,OTHER,FALSE,TRUE,12,25
JA140624,02/02/2017 16:55,THEFT,STREET,FALSE,FALSE,16,45
JA140579,02/03/2017 07:30,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,15,29
JA140564,01/19/2017 12:00:00 AM,THEFT,RESIDENCE,FALSE,FALSE,24,49
JA140525,02/03/2017 15:45,NARCOTICS,SIDEWALK,TRUE,FALSE,3,5
JA140611,01/22/2017 09:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,25,37
JA140555,02/03/2017 16:20,BATTERY,APARTMENT,TRUE,FALSE,24,50
JA140542,01/30/2017 11:47:00 PM,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,18,27
JA140646,01/19/2017 12:00:00 PM,OTHER OFFENSE,APARTMENT,FALSE,FALSE,11,2
JA140623,02/03/2017 13:00,OTHER OFFENSE,OTHER,FALSE,TRUE,4,8
JA140604,02/03/2017 12:30,DECEPTIVE PRACTICE,RESTAURANT,FALSE,FALSE,18,42
JA140433,02/03/2017 14:30,NARCOTICS,STREET,TRUE,FALSE,25,26
JA140477,02/03/2017 11:17,OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,9,16
JA140573,02/03/2017 16:31,THEFT,DEPARTMENT STORE,FALSE,FALSE,25,37
JA140338,01/29/2017 11:00:00 AM,DECEPTIVE PRACTICE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,6,17
JA140557,02/03/2017 15:30,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,FALSE,FALSE,9,12
JA140621,02/03/2017 17:10,NARCOTICS,ALLEY,TRUE,FALSE,11,28
JA140488,01/20/2017 06:00:00 PM,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,22,21
JA140489,02/03/2017 15:02,THEFT,DEPARTMENT STORE,TRUE,FALSE,18,42
JA140261,01/30/2017 10:00:00 AM,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,22,34
JA140541,02/03/2017 16:09,THEFT,GROCERY FOOD STORE,TRUE,FALSE,22,21
JA140566,02/03/2017 16:28,THEFT,DEPARTMENT STORE,TRUE,FALSE,18,42
